product_id,sku,name,category,price,stock_quantity,last_sync
PARTNER_11223,ABC-999,Keyboard Wireless,Electronics,55.00,0,2024-01-18 13:45:00
PARTNER_88765,00456,Mouse Pad,Office,8.99,300,2023-10-30 10:10:00
PARTNER_44321,PROD-00123,USB Hub,Computer Accessories,22.50,120,2023-12-15 15:55:00
PARTNER_55678,sku-12345,Laptop Stand Adjustable,Office,89.99,250,2024-01-22 09:30:00
PARTNER_22334,P-00789,Webcam HD Pro,Electronics,125.00,45,2023-11-15 14:20:00
PARTNER_99001,prod-567,Monitor Arm Mount,Office,78.50,180,2024-02-01 11:00:00
PARTNER_33445,00234,Desk Organizer Set,Supplies,15.99,420,2023-09-20 08:15:00
PARTNER_77889,SKU-00890,Headphones Noise Cancel,Electronics,199.99,65,2023-12-28 16:45:00
PARTNER_66554,p-111,Cable Management Kit,Computer Accessories,12.50,500,2024-01-05 10:30:00
PARTNER_44556,PROD-00345,Ergonomic Mouse,Electronics,45.00,220,2023-10-12 13:22:00
PARTNER_11098,sku-678,Docking Station USB-C,Computer Accessories,145.00,35,2024-01-30 15:10:00
PARTNER_88776,00901,Printer Paper Ream,Supplies,8.50,600,2023-11-22 09:45:00
PARTNER_55443,P-222,Standing Desk Converter,Office,225.00,18,2023-12-05 12:30:00
PARTNER_99887,PROD-00456,Mechanical Keyboard RGB,Electronics,135.00,95,2024-01-15 14:55:00
PARTNER_22109,sku-00123,Laptop Sleeve 15inch,Computer Accessories,25.99,310,2023-10-28 11:20:00
PARTNER_77665,p-00333,Wireless Presenter Remote,Electronics,32.50,150,2023-11-30 10:05:00
PARTNER_33221,SKU-789,External SSD 1TB,Computer Accessories,99.99,75,2024-02-10 13:40:00
PARTNER_66778,PROD-234,Desk Lamp LED,Office,42.00,200,2023-12-18 15:25:00
PARTNER_44332,00567,Sticky Notes Pack,Supplies,6.99,550,2023-09-15 08:30:00
PARTNER_11765,sku-901,USB Flash Drive 64GB,Computer Accessories,18.50,380,2024-01-08 09:50:00
PARTNER_88654,P-00444,Bluetooth Speaker,Electronics,68.00,125,2023-11-10 16:15:00
PARTNER_55987,prod-00678,Monitor 27inch 4K,Electronics,399.99,28,2024-01-25 11:35:00
PARTNER_22876,SKU-00345,Office Chair Mat,Office,35.00,165,2023-10-05 14:40:00
PARTNER_99543,00678,Pen Holder Mesh,Supplies,9.99,475,2023-12-01 10:20:00
PARTNER_77432,p-555,Laptop Cooling Pad,Computer Accessories,29.99,240,2024-02-05 12:15:00
PARTNER_33654,PROD-00890,Graphics Tablet,Electronics,155.00,42,2023-11-25 15:50:00
PARTNER_66321,sku-00234,File Folders Box,Supplies,14.50,520,2023-09-28 09:10:00
PARTNER_44987,SKU-456,HDMI Cable 6ft,Computer Accessories,11.99,410,2024-01-12 13:05:00
PARTNER_11432,P-00666,Desk Fan USB,Office,22.00,285,2023-10-18 11:45:00
PARTNER_88321,prod-901,Wireless Charging Pad,Electronics,35.50,195,2023-12-22 14:30:00
PARTNER_55234,00789,Stapler Heavy Duty,Supplies,18.99,330,2024-01-28 10:55:00
PARTNER_22543,sku-00456,Phone Stand Adjustable,Computer Accessories,16.50,265,2023-11-05 15:20:00
PARTNER_99876,P-777,Conference Speakerphone,Electronics,189.99,38,2024-02-08 12:40:00
PARTNER_77123,PROD-00567,Whiteboard Markers Set,Supplies,12.99,445,2023-10-22 09:25:00
PARTNER_33987,SKU-00567,Laptop Backpack,Computer Accessories,55.00,175,2023-12-10 16:10:00
PARTNER_66543,00890,Calculator Scientific,Office,24.50,290,2024-01-20 11:15:00
PARTNER_44765,p-00888,Document Scanner,Electronics,215.00,32,2023-11-18 13:55:00
PARTNER_11654,sku-234,Power Strip Surge,Computer Accessories,28.99,355,2024-02-02 10:30:00
PARTNER_88987,PROD-00234,Binder Clips Assorted,Supplies,7.50,580,2023-09-12 08:45:00
PARTNER_55678,P-999,Desk Drawer Organizer,Office,19.99,405,2023-12-28 15:00:00
PARTNER_22321,SKU-00678,Webcam Cover Slider,Computer Accessories,5.99,495,2024-01-15 09:35:00
PARTNER_99234,00901,Rubber Bands Box,Supplies,4.99,620,2023-10-30 14:20:00
PARTNER_77654,p-00111,Monitor Privacy Screen,Computer Accessories,45.00,140,2023-11-28 12:50:00
PARTNER_33432,prod-00345,Portable Hard Drive 2TB,Electronics,89.99,85,2024-02-12 11:25:00
