square_feet,bedrooms,bathrooms,age_years,distance_to_city,price
1500,3,2.0,10,5.2,350000
2200,4,2.5,5,3.1,475000
900,2,1.0,25,15.8,225000
3200,5,3.5,2,2.5,625000
1800,3,2.0,15,8.4,385000
2800,4,3.0,8,4.2,550000
1200,2,1.5,20,12.3,280000
4100,5,4.0,1,1.8,785000
1650,3,2.0,12,9.1,365000
2400,4,2.5,7,5.5,495000
1100,2,1.0,30,18.5,245000
3500,5,3.5,4,3.2,675000
1950,3,2.5,9,6.8,415000
2650,4,3.0,6,4.8,525000
1350,2,2.0,18,11.2,310000
3800,5,4.0,3,2.1,715000
1750,3,2.0,14,7.9,375000
2300,4,2.5,8,5.9,485000
980,2,1.0,28,16.4,235000
3100,5,3.0,5,3.8,615000
1850,3,2.5,11,8.8,395000
2550,4,3.0,7,5.2,515000
1250,2,1.5,22,13.1,290000
3650,5,3.5,3,2.8,695000
1700,3,2.0,13,8.5,370000
2450,4,2.5,6,5.1,505000
1050,2,1.0,27,17.2,250000
3300,5,3.5,4,3.5,645000
1900,3,2.5,10,7.5,405000
2700,4,3.0,5,4.5,535000
1400,2,2.0,19,10.8,320000
3900,5,4.0,2,2.3,745000
1800,3,2.0,12,8.2,380000
2350,4,2.5,9,6.3,490000
1150,2,1.5,26,14.5,270000
3400,5,3.5,3,3.0,665000
1950,3,2.5,8,6.5,420000
2600,4,3.0,6,4.9,520000
1300,2,2.0,21,12.8,300000
3750,5,4.0,2,2.5,725000
1650,3,2.0,15,9.5,360000
2250,4,2.5,10,6.8,480000
950,2,1.0,29,19.2,230000
3150,5,3.0,4,3.6,625000
1820,3,2.5,11,7.8,390000
2500,4,3.0,7,5.4,510000
1220,2,1.5,23,13.9,285000
3600,5,3.5,3,2.9,685000
1750,3,2.0,14,8.8,372000
2400,4,2.5,8,6.0,495000
1080,2,1.0,28,17.8,248000
3250,5,3.5,5,3.4,635000
1880,3,2.5,10,7.2,400000
2680,4,3.0,6,4.7,530000
1380,2,2.0,20,11.5,315000
3850,5,4.0,2,2.2,735000
1780,3,2.0,13,8.6,378000
2320,4,2.5,9,6.2,488000
1120,2,1.5,27,15.3,265000
3350,5,3.5,4,3.3,655000
1920,3,2.5,9,6.9,410000
2620,4,3.0,6,5.0,522000
1320,2,2.0,21,12.2,305000
3720,5,4.0,2,2.4,720000
1680,3,2.0,14,9.0,368000
2280,4,2.5,10,6.5,483000
1020,2,1.0,29,18.5,240000
3180,5,3.0,5,3.7,628000
1850,3,2.5,11,7.6,393000
2530,4,3.0,7,5.3,513000
1260,2,1.5,22,13.5,288000
3620,5,3.5,3,2.9,688000
1720,3,2.0,13,8.7,373000
2380,4,2.5,8,6.1,493000
1060,2,1.0,28,17.5,246000
3280,5,3.5,4,3.4,642000
1890,3,2.5,10,7.3,403000
2660,4,3.0,6,4.8,527000
1360,2,2.0,20,11.8,312000
3820,5,4.0,2,2.3,732000
1760,3,2.0,13,8.7,376000
2310,4,2.5,9,6.3,487000
1140,2,1.5,26,15.0,268000
3370,5,3.5,4,3.2,658000
1940,3,2.5,9,7.0,413000
2640,4,3.0,6,5.0,524000
1340,2,2.0,21,12.5,308000
3740,5,4.0,2,2.4,722000
1690,3,2.0,14,9.2,369000
2290,4,2.5,10,6.6,485000
1010,2,1.0,30,19.0,238000
3200,5,3.0,5,3.6,630000
1870,3,2.5,11,7.7,396000
2550,4,3.0,7,5.2,516000
1280,2,1.5,22,13.3,292000
3640,5,3.5,3,2.9,690000
1740,3,2.0,13,8.8,374000
2360,4,2.5,8,6.0,492000
1070,2,1.0,28,17.3,247000
3290,5,3.5,4,3.4,644000
1900,3,2.5,10,7.4,404000
2670,4,3.0,6,4.9,528000
1370,2,2.0,20,11.6,313000
3830,5,4.0,2,2.2,734000
1770,3,2.0,13,8.6,377000
2320,4,2.5,9,6.4,489000
1150,2,1.5,26,14.8,269000
3380,5,3.5,4,3.3,660000
1950,3,2.5,9,7.1,414000
2650,4,3.0,6,5.0,525000
1350,2,2.0,21,12.3,309000
3750,5,4.0,2,2.4,724000
1700,3,2.0,14,9.1,370000
2300,4,2.5,10,6.7,486000
1020,2,1.0,29,18.8,239000
3210,5,3.0,5,3.7,632000
1880,3,2.5,11,7.8,398000
2560,4,3.0,7,5.3,518000
1290,2,1.5,22,13.4,294000
3660,5,3.5,3,2.9,692000
1750,3,2.0,13,8.9,375000
2370,4,2.5,8,6.1,494000
1080,2,1.0,28,17.4,248000
3300,5,3.5,4,3.4,646000
1910,3,2.5,10,7.5,406000
2680,4,3.0,6,4.9,529000
1380,2,2.0,20,11.7,314000
3840,5,4.0,2,2.2,736000
1780,3,2.0,13,8.7,378000
2330,4,2.5,9,6.4,490000
1160,2,1.5,26,14.9,270000
3390,5,3.5,4,3.3,662000
