product_id,product_name,category,subcategory,price,cost,stock_quantity,supplier_id,sku,weight_kg,dimensions_cm,is_active
5001,Wireless Mouse,Electronics,Computer Accessories,29.99,15.50,250,101,ELEC-10001,0.15,12x8x4,True
5002,Cotton T-Shirt,Clothing,Men's Apparel,19.99,8.00,500,105,CLTH-20001,0.25,30x25x2,True
5003,Garden Hose 50ft,Home & Garden,Outdoor,34.99,18.00,150,110,HOME-30001,2.50,40x40x15,True
5004,Tennis Racket,Sports,Tennis Equipment,89.99,45.00,75,115,SPRT-40001,0.35,70x30x5,True
5005,Python Programming Guide,Books,Technology,49.99,25.00,200,120,BOOK-50001,0.80,25x20x3,True
5006,Bluetooth Speaker,Electronics,Audio,79.99,40.00,180,101,ELEC-10002,0.60,18x10x10,True
5007,Yoga Mat,Sports,Fitness,24.99,12.00,300,115,SPRT-40002,1.20,75x5x5,True
5008,Denim Jeans,Clothing,Men's Apparel,59.99,28.00,220,105,CLTH-20002,0.65,35x30x3,True
5009,LED Desk Lamp,Home & Garden,Lighting,39.99,20.00,150,110,HOME-30002,0.90,40x15x15,True
5010,Cookbook Mediterranean,Books,Cooking,29.99,15.00,120,120,BOOK-50002,1.00,28x22x2,True
5011,Laptop Stand,Electronics,Computer Accessories,44.99,22.50,100,101,ELEC-10003,1.50,35x25x8,True
5012,Running Shoes,Sports,Footwear,99.99,50.00,180,115,SPRT-40003,0.85,33x22x12,True
5013,Winter Jacket,Clothing,Outerwear,149.99,75.00,90,105,CLTH-20003,1.20,45x35x10,True
5014,Coffee Maker,Home & Garden,Kitchen Appliances,89.99,45.00,110,110,HOME-30003,3.50,35x25x30,True
5015,Science Fiction Novel,Books,Fiction,14.99,7.50,300,120,BOOK-50003,0.45,21x14x3,True
5016,Wireless Keyboard,Electronics,Computer Accessories,49.99,25.00,200,101,ELEC-10004,0.55,45x15x3,True
5017,Dress Shirt,Clothing,Men's Apparel,39.99,20.00,175,105,CLTH-20004,0.30,32x28x3,True
5018,Plant Pot Set,Home & Garden,Garden Decor,24.99,12.00,250,110,HOME-30004,2.80,30x30x25,True
5019,Basketball,Sports,Ball Sports,29.99,15.00,200,115,SPRT-40004,0.62,25x25x25,True
5020,History Textbook,Books,Education,79.99,40.00,85,120,BOOK-50004,1.50,28x22x4,True
5021,USB-C Cable,Electronics,Cables & Adapters,12.99,6.50,500,101,ELEC-10005,0.08,15x10x2,True
5022,Sneakers,Sports,Footwear,69.99,35.00,150,115,SPRT-40005,0.75,32x21x11,True
5023,Polo Shirt,Clothing,Men's Apparel,34.99,17.50,200,105,CLTH-20005,0.28,31x26x2,True
5024,Throw Pillows Set,Home & Garden,Home Decor,44.99,22.00,130,110,HOME-30005,1.40,45x45x15,True
5025,Mystery Novel,Books,Fiction,16.99,8.50,280,120,BOOK-50005,0.40,20x13x2,True
5026,Webcam HD,Electronics,Computer Accessories,59.99,30.00,140,101,ELEC-10006,0.25,10x8x8,True
5027,Swim Shorts,Clothing,Swimwear,29.99,15.00,180,105,CLTH-20006,0.20,30x25x2,True
5028,Watering Can,Home & Garden,Garden Tools,19.99,10.00,200,110,HOME-30006,1.10,35x20x30,True
5029,Soccer Ball,Sports,Ball Sports,34.99,17.50,175,115,SPRT-40006,0.43,22x22x22,True
5030,Biography Collection,Books,Biography,39.99,20.00,95,120,BOOK-50006,1.20,26x20x5,True
5031,Monitor 24 inch,Electronics,Displays,199.99,100.00,65,101,ELEC-10007,4.50,60x45x15,True
5032,Hoodie,Clothing,Casual Wear,49.99,25.00,160,105,CLTH-20007,0.70,40x32x5,True
5033,Tool Set,Home & Garden,Tools,79.99,40.00,90,110,HOME-30007,5.50,45x35x10,True
5034,Golf Club Set,Sports,Golf Equipment,299.99,150.00,45,115,SPRT-40007,8.50,120x30x15,True
5035,Travel Guide Europe,Books,Travel,24.99,12.50,150,120,BOOK-50007,0.55,23x18x2,True
5036,External Hard Drive 1TB,Electronics,Storage,79.99,40.00,120,101,ELEC-10008,0.18,12x8x2,True
5037,Leather Belt,Clothing,Accessories,29.99,15.00,220,105,CLTH-20008,0.15,110x5x1,True
5038,Curtains Set,Home & Garden,Window Treatments,54.99,27.50,100,110,HOME-30008,1.80,200x150x5,True
5039,Dumbbells 10kg Set,Sports,Fitness,49.99,25.00,110,115,SPRT-40008,10.00,40x20x15,True
5040,Graphic Novel,Books,Comics,19.99,10.00,190,120,BOOK-50008,0.60,26x18x2,True
5041,Tablet 10 inch,Electronics,Mobile Devices,249.99,125.00,80,101,ELEC-10009,0.50,25x18x1,True
5042,Shorts,Clothing,Casual Wear,24.99,12.50,240,105,CLTH-20009,0.22,28x24x2,True
5043,Lawn Mower,Home & Garden,Garden Equipment,299.99,150.00,35,110,HOME-30009,18.00,90x50x45,True
5044,Camping Tent 4-Person,Sports,Camping,159.99,80.00,55,115,SPRT-40009,6.50,60x30x30,True
5045,Business Book,Books,Business,34.99,17.50,125,120,BOOK-50009,0.75,24x19x3,True
5046,Mechanical Keyboard,Electronics,Computer Accessories,129.99,65.00,90,101,ELEC-10010,1.10,45x15x4,True
5047,Scarf,Clothing,Accessories,19.99,10.00,280,105,CLTH-20010,0.12,180x30x1,True
5048,Bedding Set Queen,Home & Garden,Bedroom,89.99,45.00,70,110,HOME-30010,3.20,40x35x15,True
5049,Resistance Bands,Sports,Fitness,19.99,10.00,250,115,SPRT-40010,0.35,25x20x5,True
5050,Art Book,Books,Art & Design,44.99,22.50,105,120,BOOK-50010,1.80,30x25x3,True
5051,Smartphone Case,Electronics,Mobile Accessories,14.99,7.50,400,101,ELEC-10011,0.10,18x10x2,True
5052,Cardigan Sweater,Clothing,Women's Apparel,54.99,27.50,140,105,CLTH-20011,0.45,35x30x4,True
5053,Picture Frames Set,Home & Garden,Home Decor,34.99,17.50,160,110,HOME-30011,2.10,35x25x8,True
5054,Hiking Backpack,Sports,Hiking,79.99,40.00,95,115,SPRT-40011,1.50,55x35x20,True
5055,Children's Book Set,Books,Children,29.99,15.00,170,120,BOOK-50011,0.90,25x20x5,True
5056,Power Bank 20000mAh,Electronics,Mobile Accessories,39.99,20.00,180,101,ELEC-10012,0.40,15x8x3,True
5057,Leggings,Clothing,Women's Apparel,29.99,15.00,300,105,CLTH-20012,0.20,32x26x2,True
5058,Dining Table Set,Home & Garden,Furniture,499.99,250.00,25,110,HOME-30012,45.00,150x90x75,True
5059,Bicycle,Sports,Cycling,399.99,200.00,40,115,SPRT-40012,15.00,180x100x60,True
5060,Poetry Collection,Books,Poetry,22.99,11.50,140,120,BOOK-50012,0.50,21x14x2,True
5061,Smart Watch,Electronics,Wearables,199.99,100.00,110,101,ELEC-10013,0.08,5x5x2,True
5062,Blazer,Clothing,Formal Wear,99.99,50.00,85,105,CLTH-20013,0.80,45x35x5,True
5063,Storage Bins Set,Home & Garden,Organization,39.99,20.00,140,110,HOME-30013,2.50,50x40x30,True
5064,Jump Rope,Sports,Fitness,12.99,6.50,300,115,SPRT-40013,0.18,28x18x5,True
5065,Fantasy Novel Series,Books,Fiction,59.99,30.00,90,120,BOOK-50013,2.20,23x15x8,True
5066,Headphones Wireless,Electronics,Audio,149.99,75.00,95,101,ELEC-10014,0.28,20x18x10,True
5067,Maxi Dress,Clothing,Women's Apparel,64.99,32.50,120,105,CLTH-20014,0.50,40x32x3,True
5068,Bath Towels Set,Home & Garden,Bathroom,44.99,22.50,150,110,HOME-30014,2.80,40x30x15,True
5069,Skateboard,Sports,Skating,89.99,45.00,70,115,SPRT-40014,3.20,80x20x12,True
5070,Self-Help Book,Books,Self-Improvement,26.99,13.50,180,120,BOOK-50014,0.65,23x15x2,True
5071,Router WiFi 6,Electronics,Networking,99.99,50.00,100,101,ELEC-10015,0.65,25x20x8,True
5072,Blouse,Clothing,Women's Apparel,39.99,20.00,175,105,CLTH-20015,0.25,33x28x2,True
5073,Vacuum Cleaner,Home & Garden,Cleaning,179.99,90.00,60,110,HOME-30015,6.50,45x30x30,True
5074,Yoga Block Set,Sports,Fitness,16.99,8.50,220,115,SPRT-40015,0.60,23x15x10,True
5075,Classic Literature Set,Books,Classics,69.99,35.00,80,120,BOOK-50015,3.50,25x18x12,True
5076,Gaming Mouse,Electronics,Gaming,69.99,35.00,130,101,ELEC-10016,0.12,13x8x5,True
5077,Track Pants,Clothing,Sportswear,34.99,17.50,190,105,CLTH-20016,0.35,35x28x3,True
5078,Mirror Wall Mount,Home & Garden,Home Decor,54.99,27.50,95,110,HOME-30016,3.80,80x60x5,True
5079,Foam Roller,Sports,Fitness,29.99,15.00,160,115,SPRT-40016,0.85,60x15x15,True
5080,Photography Book,Books,Photography,49.99,25.00,95,120,BOOK-50016,1.40,28x24x3,True
5081,Printer All-in-One,Electronics,Office Equipment,199.99,100.00,55,101,ELEC-10017,8.50,45x40x35,True
5082,Formal Trousers,Clothing,Men's Formal,54.99,27.50,140,105,CLTH-20017,0.55,38x32x3,True
5083,Area Rug,Home & Garden,Flooring,129.99,65.00,65,110,HOME-30017,4.50,200x150x1,True
5084,Kayak,Sports,Water Sports,499.99,250.00,20,115,SPRT-40017,22.00,350x80x40,True
5085,Science Book,Books,Science,39.99,20.00,110,120,BOOK-50017,1.10,26x20x3,True
5086,Flash Drive 128GB,Electronics,Storage,24.99,12.50,350,101,ELEC-10018,0.02,6x2x1,True
5087,Tank Top,Clothing,Casual Wear,14.99,7.50,320,105,CLTH-20018,0.15,28x24x1,True
5088,Desk Organizer,Home & Garden,Office,29.99,15.00,180,110,HOME-30018,1.20,35x25x12,True
5089,Water Bottle Insulated,Sports,Accessories,24.99,12.50,250,115,SPRT-40018,0.45,28x8x8,True
5090,Philosophy Book,Books,Philosophy,34.99,17.50,100,120,BOOK-50018,0.80,23x16x3,True
5091,Action Camera,Electronics,Cameras,249.99,125.00,70,101,ELEC-10019,0.12,6x4x3,True
5092,Pajama Set,Clothing,Sleepwear,39.99,20.00,160,105,CLTH-20019,0.40,35x30x3,True
5093,Wall Clock,Home & Garden,Home Decor,34.99,17.50,140,110,HOME-30019,1.10,40x40x5,True
5094,Weight Bench,Sports,Fitness,149.99,75.00,50,115,SPRT-40019,18.50,120x50x45,True
5095,Dictionary,Books,Reference,29.99,15.00,130,120,BOOK-50019,1.60,25x20x5,True
5096,Earbuds Wireless,Electronics,Audio,79.99,40.00,200,101,ELEC-10020,0.05,10x8x4,True
5097,Sweatpants,Clothing,Casual Wear,39.99,20.00,210,105,CLTH-20020,0.45,36x30x3,True
5098,Lamp Floor Standing,Home & Garden,Lighting,89.99,45.00,75,110,HOME-30020,4.20,150x30x30,True
5099,Boxing Gloves,Sports,Boxing,44.99,22.50,120,115,SPRT-40020,0.95,30x20x15,True
5100,Atlas World,Books,Reference,44.99,22.50,85,120,BOOK-50020,2.50,35x28x2,True
5101,Projector Mini,Electronics,Displays,179.99,90.00,60,102,ELEC-10021,1.20,22x18x8,True
5102,Rain Jacket,Clothing,Outerwear,69.99,35.00,110,106,CLTH-20021,0.65,42x34x4,True
