2024-01-15,P001,25,49.99
2024-01-16,P002,50,125.50
2024-01-17,P003,10,299.99
2024-01-18,P004,35,75.00
2024-01-19,P005,20,150.75
2024-01-20,P006,45,89.99
2024-01-21,P007,15,199.99
2024-01-22,P008,60,45.50
2024-01-23,P009,30,220.00
2024-01-24,P010,25,180.25
2024-01-25,P011,40,95.00
2024-01-26,P002,55,125.50
2024-01-27,P003,12,299.99
2024-01-28,P004,28,75.00
2024-01-29,P005,22,150.75
2024-01-30,P006,38,89.99
2024-01-31,P007,18,199.99
2024-02-01,P008,65,45.50
2024-02-02,P009,33,220.00
2024-02-03,P010,27,180.25
2024-02-04,P011,42,95.00
2024-02-05,P001,30,49.99
2024-02-06,P002,48,125.50
2024-02-07,P003,8,299.99
2024-02-08,P004,32,75.00
2024-02-10,P006,41,89.99
2024-02-11,P007,16,199.99
2024-02-12,P008,58,45.50
2024-02-13,P009,31,220.00
2024-02-14,P010,26,180.25
2024-02-15,P011,39,95.00
2024-02-16,P001,28,49.99
2024-02-17,P002,52,125.50
2024-02-19,P004,36,75.00
2024-02-20,P005,21,150.75
2024-02-21,P006,44,89.99
2024-02-22,P007,17,199.99
2024-02-23,P008,62,45.50
2024-02-24,P009,34,220.00
2024-02-25,P010,29,180.25
2024-02-26,P011,43,95.00
2024-02-27,P001,24,49.99
2024-02-28,P002,51,125.50
2024-03-01,P003,9,299.99
2024-03-02,P004,37,75.00
2024-03-03,P005,23,150.75
2024-03-04,P006,46,89.99
2024-03-05,P007,19,199.99
