product_id,product_name,category,unit_price
P001,Wireless Mouse,Electronics,29.99
P002,Cotton T-Shirt,Clothing,19.99
P003,Coffee Maker,Home,79.99
P004,Tennis Racket,Sports,149.99
P005,Mystery Novel,Books,14.99
P006,Building Blocks Set,Toys,34.99
P007,Bluetooth Headphones,Electronics,89.99
P008,Yoga Mat,Sports,39.99
P009,Desk Lamp,Home,45.99
P010,Denim Jeans,Clothing,59.99
P011,Science Fiction Book,Books,16.99
P012,Action Figure,Toys,24.99
P013,Laptop Stand,Electronics,54.99
P014,Running Shoes,Sports,119.99
P015,Bed Sheet Set,Home,69.99
P016,Winter Jacket,Clothing,159.99
P017,Cookbook,Books,22.99
P018,Board Game,Toys,44.99
P019,Wireless Keyboard,Electronics,64.99
P020,Basketball,Sports,29.99
P021,Throw Pillows,Home,32.99
P022,Polo Shirt,Clothing,39.99
P023,Biography Book,Books,19.99
P024,RC Car,Toys,79.99
P025,USB Hub,Electronics,24.99
P026,Dumbbells Set,Sports,89.99
P027,Wall Clock,Home,36.99
P028,Sneakers,Clothing,74.99
P029,Fantasy Novel,Books,18.99
P030,Puzzle 1000 Pieces,Toys,19.99
P031,Webcam HD,Electronics,99.99
P032,Soccer Ball,Sports,34.99
P033,Picture Frame,Home,16.99
P034,Sweater,Clothing,54.99
P035,Self-Help Book,Books,21.99
P036,Stuffed Animal,Toys,14.99
P037,Portable Charger,Electronics,39.99
P038,Yoga Blocks,Sports,24.99
P039,Candle Set,Home,28.99
P040,Dress Shirt,Clothing,49.99
P041,Travel Guide,Books,24.99
P042,LEGO Set,Toys,99.99
P043,Smart Watch,Electronics,299.99
P044,Golf Clubs,Sports,449.99
P045,Area Rug,Home,199.99
P046,Leather Jacket,Clothing,299.99
P047,Encyclopedia Set,Books,149.99
P048,Electric Train Set,Toys,179.99
P049,Noise Cancelling Headphones,Electronics,249.99
P050,Camping Tent,Sports,189.99
