product_id,name,price,stock_quantity
1001,Wireless Mouse,29.99,45
1015,wireless mouse,31.99,32
1023,USB Cable,9.99,120
1008,USB Cable ,8.99,150
1045,Laptop Stand,49.99,25
1012,Laptop Stands,52.99,18
1067,Blue Headphones,79.99,60
1089,Red Headphones,79.99,55
1034,Mechanical Keyboard,119.99,40
1102,HDMI Cable,14.99,200
1056,Bluetooth Speaker,45.99,75
1078,Bluetooth Speakr,44.99,68
1091,Gaming Mouse,59.99,85
1118,USB-C Adapter,19.99,150
1125,usb-c adapter,18.99,145
1033,Portable Charger,35.99,90
1044,portable charger,34.99,88
1072,Webcam HD,89.99,42
1099,Laptop Bag,39.99,55
1107,laptop bag,41.99,50
1134,Wireless Keyboard,69.99,65
1149,Computer Monitor,199.99,30
1162,Phone Case,12.99,250
1175,phone case,11.99,240
1188,External Hard Drive,79.99,48
1003,Gaming Headset,99.99,38
1017,Memory Card 64GB,24.99,180
1029,Desk Lamp,29.99,72
1041,Mouse Pad,8.99,300
1053,MOUSE PAD,7.99,285
1064,Screen Protector,6.99,400
1076,Cable Organizer,5.99,350
1082,Tablet Stand,34.99,44
1094,Ethernet Cable,11.99,220
1106,ethernet cable,10.99,215
1119,Power Bank,42.99,95
1131,Printer Paper,19.99,150
1143,USB Flash Drive,15.99,175
1155,usb flash drive,14.99,170
1167,Keyboard Wrist Rest,16.99,110
1179,Docking Station,129.99,22
1191,Monitor Stand,54.99,35
1004,Graphics Tablet,149.99,28
1016,Smart Watch,189.99,52
1028,Fitness Tracker,79.99,68
1040,Noise Cancelling Headphones,159.99,41
1052,Camera Tripod,45.99,58
1065,Ring Light,38.99,82
1077,Microphone Stand,29.99,95
1088,Studio Microphone,119.99,33
1100,Green Screen,69.99,46
1113,Drawing Tablet,199.99,24
1126,Laptop Cooling Pad,25.99,78
1138,laptop cooling pad,24.99,75
1150,Surge Protector,22.99,125
1163,surge protector,21.99,120
1176,USB Hub,27.99,140
1189,Cable Sleeves,12.99,200
1005,Wireless Earbuds,89.99,105
1018,wireless earbuds,88.99,98
1031,Smartphone Gimbal,159.99,19
1043,SSD 500GB,69.99,62
1055,RAM 16GB,79.99,54
1068,Cooling Fan,19.99,160
1080,LED Strip Lights,24.99,135
1092,led strip lights,23.99,130
1104,Smart Plug,15.99,180
1117,VR Headset,299.99,16
1129,Stylus Pen,21.99,115
1141,stylus pen,20.99,110
1153,Travel Router,39.99,71
1165,Gaming Chair,249.99,12
1177,Desk Organizer,18.99,145
1190,White Board Markers,8.99,275
1007,Conference Speaker,129.99,27
1020,Video Capture Card,89.99,36
1032,Portable SSD,119.99,43
1046,Cable Tester,32.99,88
1058,Network Switch,59.99,52
1070,Audio Interface,149.99,29
1083,Pop Filter,14.99,165
1095,Boom Arm,45.99,67
1108,USB Microphone,79.99,71
1121,Streaming Deck,149.99,34
1133,Security Camera,69.99,58
1145,Smart Light Bulb,16.99,195
1157,smart light bulb,15.99,188
1169,Door Bell Camera,99.99,47
1181,Motion Sensor,24.99,122
1193,Bluetooth Adapter,12.99,205
1010,Gaming Controller,54.99,89
1022,Charging Station,35.99,102
1035,Car Phone Mount,17.99,168
1048,Aux Cable,7.99,310
1061,AUX CABLE,6.99,295
1073,Cleaning Kit,11.99,225
1086,Anti-Glare Filter,28.99,94
1098,Laptop Lock,19.99,137
1111,Cable Clips,5.99,420
1124,Display Port Cable,16.99,158
1136,displayport cable,15.99,152
1148,Thunderbolt Cable,29.99,118
1160,thunderbolt cable,28.99,112
1172,Card Reader,14.99,183
1184,Webcam Cover,4.99,450
1196,Phone Stand,13.99,192
1200,Headphone Stand,22.99,125
