product_id;product_name;category;unit_price
PROD-5001;Enterprise Software License;Software;2500.00
PROD-5002;Premium Widget Set;Hardware;1200.00
PROD-5003;Cloud Storage Plan;Subscription;450.00
PROD-5004;Professional Services;Services;5000.00
PROD-5005;Data Analytics Platform;Software;7500.00
PROD-5006;Security Suite;Software;3200.00
PROD-5007;Hardware Maintenance Kit;Hardware;850.00
PROD-5008;Consulting Package;Services;4500.00
PROD-5009;Mobile Device Fleet;Hardware;9500.00
PROD-5010;Email Marketing Platform;Subscription;299.00
PROD-5011;CRM System;Software;6800.00
PROD-5012;Network Infrastructure;Hardware;8900.00
PROD-5013;Training Program;Services;1500.00
PROD-5014;Backup Solution;Subscription;675.00
PROD-5015;Video Conferencing;Software;1100.00
PROD-5016;Industrial Sensors;Hardware;2200.00
PROD-5017;API Management;Software;3900.00
PROD-5018;Managed Services;Services;7200.00
PROD-5019;Desktop Computers;Hardware;1800.00
PROD-5020;Project Management Tool;Subscription;399.00
PROD-5021;Database License;Software;5500.00
PROD-5022;Server Hardware;Hardware;9200.00
PROD-5023;Implementation Services;Services;6500.00
PROD-5024;Monitoring Platform;Subscription;825.00
PROD-5025;Business Intelligence;Software;4800.00
PROD-5026;Laptop Fleet;Hardware;2400.00
PROD-5027;Support Package;Services;2800.00
PROD-5028;Collaboration Suite;Subscription;550.00
PROD-5029;ERP System;Software;9800.00
PROD-5030;Networking Equipment;Hardware;3600.00
PROD-5031;Custom Development;Services;8500.00
PROD-5032;Automation Platform;Software;4200.00
PROD-5033;Storage Arrays;Hardware;7800.00
PROD-5034;Audit Services;Services;3400.00
PROD-5035;Marketing Automation;Subscription;975.00
PROD-5036;AI Platform;Software;8200.00
PROD-5037;IoT Devices;Hardware;1950.00
PROD-5038;Migration Services;Services;5800.00
PROD-5039;Productivity Suite;Subscription;425.00
PROD-5040;Testing Framework;Software;2900.00
PROD-5041;Print Infrastructure;Hardware;1650.00
PROD-5042;Strategy Consulting;Services;9500.00
PROD-5043;Social Media Tools;Subscription;350.00
PROD-5044;Content Management;Software;3700.00
PROD-5045;Smartphone Fleet;Hardware;4100.00
PROD-5046;Optimization Services;Services;4900.00
PROD-5047;VPN Solution;Subscription;625.00
PROD-5048;Accounting Software;Software;2100.00
PROD-5049;Conference Equipment;Hardware;5400.00
PROD-5050;Technical Support;Services;1900.00
PROD-5051;Password Manager;Subscription;175.00
PROD-5052;Workflow Engine;Software;3300.00
PROD-5053;Tablet Devices;Hardware;2700.00
PROD-5054;Training Workshop;Services;2200.00
PROD-5055;File Sharing;Subscription;285.00
PROD-5056;HR Management System;Software;4600.00
PROD-5057;Access Control;Hardware;3100.00
PROD-5058;Integration Services;Services;6200.00
PROD-5059;Disaster Recovery;Subscription;1200.00
PROD-5060;Compliance Platform;Software;5900.00
PROD-5061;Workstations;Hardware;2950.00
PROD-5062;Architecture Review;Services;7500.00
PROD-5063;Customer Portal;Subscription;750.00
PROD-5064;Inventory System;Software;3500.00
PROD-5065;Display Systems;Hardware;4400.00
PROD-5066;Performance Tuning;Services;3900.00
PROD-5067;Identity Management;Subscription;890.00
PROD-5068;Supply Chain Software;Software;6700.00
PROD-5069;Peripheral Devices;Hardware;1450.00
PROD-5070;Security Audit;Services;5200.00
PROD-5071;Communication Platform;Subscription;495.00
PROD-5072;Reporting Tool;Software;2600.00
PROD-5073;Server Racks;Hardware;3850.00
PROD-5074;Change Management;Services;4200.00
PROD-5075;Knowledge Base;Subscription;380.00
PROD-5076;Scheduling System;Software;1850.00
PROD-5077;Power Backup;Hardware;2250.00
PROD-5078;Process Improvement;Services;5600.00
PROD-5079;Team Collaboration;Subscription;525.00
PROD-5080;Document Management;Software;3150.00
