transaction_id,amount,customer_id,region,branch_code
C001,125.50,CENTRAL-C001,Central,BR-10
2001,899.99,CENTRAL-C002,Central,BR-20
CTRL-500,45.00,CENTRAL-C003,Central,BR-30
C002,234.75,CENTRAL-C004,Central,BR-10
9999,567.80,CENTRAL-C005,Central,BR-20
C003,1250.00,CENTRAL-C006,Central,BR-30
3001,89.99,CENTRAL-C007,Central,BR-10
CTRL-501,456.25,CENTRAL-C008,Central,BR-20
C004,678.90,CENTRAL-C009,Central,BR-30
4001,234.50,CENTRAL-C010,Central,BR-10
C005,890.00,CENTRAL-C011,Central,BR-20
CTRL-502,123.45,CENTRAL-C012,Central,BR-30
5001,567.88,CENTRAL-C013,Central,BR-10
C006,345.60,CENTRAL-C014,Central,BR-20
6001,789.12,CENTRAL-C015,Central,BR-30
CTRL-503,456.78,CENTRAL-C016,Central,BR-10
C007,234.90,CENTRAL-C017,Central,BR-20
7001,678.45,CENTRAL-C018,Central,BR-30
C008,123.00,CENTRAL-C019,Central,BR-10
CTRL-504,890.55,CENTRAL-C020,Central,BR-20
8001,456.20,CENTRAL-C021,Central,BR-30
C009,789.99,CENTRAL-C022,Central,BR-10
9001,234.88,CENTRAL-C023,Central,BR-20
CTRL-505,567.34,CENTRAL-C024,Central,BR-30
C010,345.77,CENTRAL-C025,Central,BR-10
1001,678.23,CENTRAL-C026,Central,BR-20
CTRL-506,890.67,CENTRAL-C027,Central,BR-30
C011,123.90,CENTRAL-C028,Central,BR-10
2002,456.55,CENTRAL-C029,Central,BR-20
C012,789.44,CENTRAL-C030,Central,BR-30
CTRL-507,234.11,CENTRAL-C031,Central,BR-10
3002,567.99,CENTRAL-C032,Central,BR-20
C013,345.22,CENTRAL-C033,Central,BR-30
4002,678.88,CENTRAL-C034,Central,BR-10
CTRL-508,890.33,CENTRAL-C035,Central,BR-20
C014,123.66,CENTRAL-C036,Central,BR-30
5002,456.77,CENTRAL-C037,Central,BR-10
C015,789.00,CENTRAL-C038,Central,BR-20
CTRL-509,234.44,CENTRAL-C039,Central,BR-30
6002,567.55,CENTRAL-C040,Central,BR-10
